time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
2023-11-01 04:15:00+00:00,16,3.429167350077478e-08,6.419586640049602e-08,2.990419289972124e-08,False,0.05-0.4nm
2023-11-01 04:16:00+00:00,16,3.3546132982564814e-08,6.325863921574637e-08,2.9712506233181557e-08,False,0.05-0.4nm
2023-11-01 04:17:00+00:00,16,3.2131140415003756e-08,6.190420975826783e-08,2.977307111962091e-08,False,0.05-0.4nm
2023-11-01 04:18:00+00:00,16,3.2730859800267353e-08,5.984680484516502e-08,2.711594682125451e-08,False,0.05-0.4nm
2023-11-01 04:19:00+00:00,16,3.311834362307309e-08,6.197898727577922e-08,2.886064542906297e-08,False,0.05-0.4nm
2023-11-01 04:20:00+00:00,16,3.382921320849164e-08,6.247838513218085e-08,2.864917014733237e-08,False,0.05-0.4nm
2023-11-01 04:21:00+00:00,16,3.295215478260616e-08,6.261875284963025e-08,2.9666598067024097e-08,False,0.05-0.4nm
2023-11-01 04:22:00+00:00,16,3.217949640088591e-08,6.22554878759729e-08,3.0075991475086994e-08,False,0.05-0.4nm
2023-11-01 04:23:00+00:00,16,3.269816772899503e-08,6.296770038716204e-08,3.026953265816701e-08,False,0.05-0.4nm
2023-11-01 04:24:00+00:00,16,3.270524118192952e-08,6.199319102506706e-08,2.928794984313754e-08,False,0.05-0.4nm
2023-11-01 04:25:00+00:00,16,3.276774052096698e-08,6.235247695940416e-08,2.9584741767507694e-08,False,0.05-0.4nm
2023-11-01 04:26:00+00:00,16,3.09811660770265e-08,5.984695405913953e-08,2.8865787982113034e-08,False,0.05-0.4nm
2023-11-01 04:27:00+00:00,16,3.036921469856679e-08,5.935784486155171e-08,2.898863016298492e-08,False,0.05-0.4nm
2023-11-01 04:28:00+00:00,16,2.8289852238572166e-08,5.80073979961071e-08,2.9717545757534936e-08,True,0.05-0.4nm
2023-11-01 04:29:00+00:00,16,2.9663526746048774e-08,5.9550291808818656e-08,2.988676328641304e-08,True,0.05-0.4nm
2023-11-01 04:30:00+00:00,16,2.9297330783606412e-08,5.9513801886623696e-08,3.021647287937412e-08,True,0.05-0.4nm
2023-11-01 04:31:00+00:00,16,2.9648742128074446e-08,5.96166813693344e-08,2.9967939241259955e-08,True,0.05-0.4nm
2023-11-01 04:32:00+00:00,16,2.7650605360918235e-08,5.815725145907891e-08,3.050664787451751e-08,True,0.05-0.4nm
2023-11-01 04:33:00+00:00,16,2.8696453213683526e-08,5.851547868473972e-08,2.981902724741303e-08,True,0.05-0.4nm
2023-11-01 04:34:00+00:00,16,2.963765233232607e-08,5.955427795356627e-08,2.991662384488336e-08,True,0.05-0.4nm
2023-11-01 04:35:00+00:00,16,2.639391460945717e-08,5.612954012690352e-08,2.9735623741089512e-08,True,0.05-0.4nm
2023-11-01 04:36:00+00:00,16,2.7638549227049225e-08,5.7625548777195945e-08,2.998699955014672e-08,True,0.05-0.4nm
2023-11-01 04:37:00+00:00,16,2.679734123489652e-08,5.670789349210281e-08,2.991055225720629e-08,True,0.05-0.4nm
