time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
2023-11-01 03:33:00+00:00,16,1.894821139103442e-06,1.9404089925956214e-06,4.558793875730771e-08,False,0.1-0.8nm
2023-11-01 03:34:00+00:00,16,1.8910441212938167e-06,1.938018840519362e-06,4.697479383253267e-08,False,0.1-0.8nm
2023-11-01 03:35:00+00:00,16,1.8841661812984967e-06,1.932139412019751e-06,4.797310992898929e-08,False,0.1-0.8nm
2023-11-01 03:36:00+00:00,16,1.878402144939173e-06,1.9269559743406717e-06,4.855392177205431e-08,False,0.1-0.8nm
2023-11-01 03:37:00+00:00,16,1.8683288089960115e-06,1.9177907688572304e-06,4.9461998941069396e-08,False,0.1-0.8nm
2023-11-01 03:38:00+00:00,16,1.8598078668219387e-06,1.911620756800403e-06,5.1812779844340184e-08,False,0.1-0.8nm
2023-11-01 03:39:00+00:00,16,1.8451311234457535e-06,1.896697199299524e-06,5.156615756618521e-08,False,0.1-0.8nm
2023-11-01 03:40:00+00:00,16,1.83243025730917e-06,1.8828870906872908e-06,5.045677653470193e-08,False,0.1-0.8nm
2023-11-01 03:41:00+00:00,16,1.820805664465297e-06,1.8724284700510907e-06,5.162279848036633e-08,False,0.1-0.8nm
2023-11-01 03:42:00+00:00,16,1.8104408354702173e-06,1.8629153828442213e-06,5.247460777013657e-08,False,0.1-0.8nm
2023-11-01 03:43:00+00:00,16,1.8037052313957247e-06,1.8573514353192877e-06,5.3646150632857825e-08,False,0.1-0.8nm
2023-11-01 03:44:00+00:00,16,1.7967906842386583e-06,1.8502779539630865e-06,5.348719511744093e-08,False,0.1-0.8nm
2023-11-01 03:45:00+00:00,16,1.8262754792885971e-06,1.8816535884980112e-06,5.537806302413628e-08,False,0.1-0.8nm
2023-11-01 03:46:00+00:00,16,1.8379273569735233e-06,1.8945816009363625e-06,5.6654268831835e-08,False,0.1-0.8nm
2023-11-01 03:47:00+00:00,16,1.8252054587719613e-06,1.881662228697678e-06,5.645673795129369e-08,False,0.1-0.8nm
2023-11-01 03:48:00+00:00,16,1.8078560515277786e-06,1.864133309936733e-06,5.62772868306638e-08,False,0.1-0.8nm
2023-11-01 03:49:00+00:00,16,1.7948015056390432e-06,1.8515924011808238e-06,5.679089554178063e-08,False,0.1-0.8nm
2023-11-01 03:50:00+00:00,16,1.780010848051461e-06,1.8365223013461218e-06,5.65115030326524e-08,False,0.1-0.8nm
2023-11-01 03:51:00+00:00,16,1.7649447272560792e-06,1.8206216054750257e-06,5.5676842691809725e-08,False,0.1-0.8nm
2023-11-01 03:52:00+00:00,16,1.7536494851810858e-06,1.8095462337441859e-06,5.5896702377822294e-08,False,0.1-0.8nm
2023-11-01 03:53:00+00:00,16,1.7500746025689295e-06,1.8056108501696144e-06,5.553620852083441e-08,False,0.1-0.8nm
2023-11-01 03:54:00+00:00,16,1.7387650359523832e-06,1.7940571979124798e-06,5.529214064381449e-08,False,0.1-0.8nm
2023-11-01 03:55:00+00:00,16,1.7321461882602307e-06,1.7869754174171248e-06,5.4829161655334246e-08,False,0.1-0.8nm
2023-11-01 03:56:00+00:00,16,1.7283360875808285e-06,1.7831503100751434e-06,5.4814272232306394e-08,False,0.1-0.8nm
2023-11-01 03:57:00+00:00,16,1.7225571582457633e-06,1.7784890360417194e-06,5.593181739982356e-08,False,0.1-0.8nm
2023-11-01 03:58:00+00:00,16,1.7116742583311861e-06,1.7669934777586604e-06,5.531921942747431e-08,False,0.1-0.8nm
2023-11-01 03:59:00+00:00,16,1.7046087350536254e-06,1.7598541717234184e-06,5.524550417135288e-08,False,0.1-0.8nm
2023-11-01 04:00:00+00:00,16,1.6960440234470298e-06,1.7511001715320162e-06,5.5056187164836956e-08,False,0.1-0.8nm
2023-11-01 04:01:00+00:00,16,1.6916028471314348e-06,1.7467615407440462e-06,5.515866163818828e-08,False,0.1-0.8nm
2023-11-01 04:02:00+00:00,16,1.6843587218318135e-06,1.7406352981197415e-06,5.627650523365446e-08,False,0.1-0.8nm
2023-11-01 04:03:00+00:00,16,1.6761772485551774e-06,1.7327595287497388e-06,5.6582276641847784e-08,False,0.1-0.8nm
2023-11-01 04:04:00+00:00,16,1.672564849286573e-06,1.728626216390694e-06,5.6061438158394594e-08,False,0.1-0.8nm
2023-11-01 04:05:00+00:00,16,1.6656168781992164e-06,1.7194030306200148e-06,5.378614886808464e-08,False,0.1-0.8nm
2023-11-01 04:06:00+00:00,16,1.6587355275987647e-06,1.7117338302341523e-06,5.299829197724648e-08,False,0.1-0.8nm
2023-11-01 04:07:00+00:00,16,1.6530375432921574e-06,1.7059811625586008e-06,5.294361216101606e-08,False,0.1-0.8nm
2023-11-01 04:08:00+00:00,16,1.6465845646962407e-06,1.6995248870443902e-06,5.2940343664431566e-08,False,0.1-0.8nm
2023-11-01 04:09:00+00:00,16,1.6395777038269443e-06,1.6925284853641642e-06,5.2950802853501955e-08,False,0.1-0.8nm
2023-11-01 04:10:00+00:00,16,1.6336887256329646e-06,1.6873339063749881e-06,5.364528732343388e-08,False,0.1-0.8nm
2023-11-01 04:11:00+00:00,16,1.6288416873067035e-06,1.682593051555159e-06,5.37513642484555e-08,False,0.1-0.8nm
2023-11-01 04:12:00+00:00,16,1.6263309134956216e-06,1.6805464611024945e-06,5.421555471230022e-08,False,0.1-0.8nm
2023-11-01 04:13:00+00:00,16,1.620063358132029e-06,1.6739979855628917e-06,5.393467716885425e-08,False,0.1-0.8nm
